"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Calendar Years 1960-2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
National Health Expenditures (Amount in Billions),27.1,29.1,31.8,34.6,38.2,41.6,45.8,51.2,58,65.4,74.1,82.4,92.4,102.7,116.3,132.7,152,172.6,193.9,219.7,253.2,293.6,330.9,364.8,401.9,439.9,472.3,514.5,576.7,642.1,718.7,785.9,852.2,914.9,965.6,"1,020.00","1,073.10","1,132.40","1,197.80","1,272.50","1,365.20","1,482.50","1,630.50","1,770.00","1,894.20","2,026.30","2,163.80","2,304.20","2,401.00","2,491.50","2,588.70","2,676.40","2,784.30","2,859.10","3,010.30","3,177.20","3,324.10","3,464.20","3,637.70","3,805.10","4,204.30","4,376.90","4,586.60","4,925.30","5,278.60"
     Health Consumption Expenditures,24.6,26.2,28.3,30.8,33.9,36.9,40.8,46,52.2,58.4,66.3,73.6,82.5,92.2,104.9,119.9,138,158.3,178,202.2,232.7,270.1,304.2,335.5,371,408.7,440,478.8,536.8,598.4,670.1,733.9,795.1,854,902,954.4,"1,006.00","1,060.70","1,119.20","1,188.10","1,279.50","1,392.50","1,529.10","1,661.50","1,777.20","1,900.70","2,030.80","2,157.90","2,244.70","2,344.30","2,436.60","2,517.60","2,621.10","2,696.00","2,850.40","3,012.30","3,155.10","3,280.90","3,445.00","3,606.80","4,004.40","4,159.10","4,362.60","4,691.90","5,039.90"
             Personal Health Care,23.1,24.6,26.5,29,31.8,34.4,38,43,48.6,54.9,62.4,68.7,76.4,85.3,97.8,112.1,128.1,145.1,162.4,184.9,214.3,248.6,279.5,308,337.9,372.6,405.4,444.4,495.1,547,611.9,672.6,728.3,775.5,817,866.3,914.5,965.4,"1,018.90","1,078.50","1,156.20","1,256.20","1,365.10","1,475.60","1,582.00","1,693.60","1,805.30","1,920.30","2,006.00","2,104.50","2,179.80","2,253.90","2,347.20","2,407.90","2,532.00","2,681.90","2,806.50","2,918.30","3,042.30","3,205.30","3,405.80","3,621.60","3,806.20","4,162.80","4,510.20"
             Government Administration and Non-Medical Insurance Expenditures,1.1,1.2,1.3,1.3,1.5,1.8,2,2.1,2.6,2.4,2.6,3.2,4.3,4.8,4.5,4.9,6.7,9.3,11.1,11.9,11.9,13.9,16.1,18.3,23.2,24.9,22.2,20.8,26.4,33.7,38.3,39.2,42.5,51.7,55.4,57.1,59.2,60.5,62.9,68.9,80.2,89.5,111.8,131.7,140.3,149.8,164.6,171.7,167.1,165.6,181.1,189.3,196.7,206.7,234.1,245,258.4,266.8,302.9,293,355.2,323.5,347.6,371.1,372.1
             Government Public Health Activities,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1,1.2,1.4,1.7,1.9,2.1,2.6,3,3.2,3.8,4.6,5.4,6.4,7.5,8.6,9.3,9.8,11.2,12.4,13.6,15.3,17.8,20,22.1,24.4,26.8,29.6,31,32.4,34.8,37.5,40.7,43,46.8,52.2,54.2,54.9,57.3,60.9,66,71.6,74.2,75.7,74.4,77.2,81.5,84.4,85.5,90.1,95.9,99.7,108.6,243.4,214,208.8,158,157.6
     Investment,2.6,2.9,3.5,3.8,4.3,4.8,5,5.2,5.9,7,7.7,8.8,9.9,10.4,11.5,12.7,14,14.4,15.9,17.5,20.6,23.5,26.7,29.3,30.9,31.1,32.3,35.7,39.9,43.7,48.6,52,57.1,60.9,63.6,65.6,67.1,71.7,78.5,84.4,85.7,90,101.5,108.6,116.9,125.5,133,146.2,156.3,147.2,152.1,158.7,163.2,163.1,159.9,164.9,169,183.3,192.7,198.3,199.9,217.8,224,233.4,238.7
U.S. Population1 (Millions),186,189,192,195,197,200,202,204,206,208,210,213,215,217,218,220,222,224,226,228,230,233,235,237,239,242,244,246,248,251,254,256,260,263,265,268,271,274,276,279,282,285,287,290,292,295,298,301,304,306,309,312,314,317,320,322,325,327,329,331,333,333,335,338,341
Gross Domestic Product2  (Amount in Billions),542.4,562.2,603.9,637.5,684.5,742.3,813.4,860,940.7,"1,017.60","1,073.30","1,164.90","1,279.10","1,425.40","1,545.20","1,684.90","1,873.40","2,081.80","2,351.60","2,627.30","2,857.30","3,207.00","3,343.80","3,634.00","4,037.60","4,339.00","4,579.60","4,855.20","5,236.40","5,641.60","5,963.10","6,158.10","6,520.30","6,858.60","7,287.20","7,639.70","8,073.10","8,577.60","9,062.80","9,631.20","10,251.00","10,581.90","10,929.10","11,456.50","12,217.20","13,039.20","13,815.60","14,474.20","14,769.90","14,478.10","15,049.00","15,599.70","16,254.00","16,880.70","17,608.10","18,295.00","18,804.90","19,612.10","20,656.50","21,540.00","21,375.30","23,725.60","26,054.60","27,811.50","29,298.00"
National Health Expenditures (Annual Percent Change) ,,7.1,9.3,8.8,10.7,8.8,9.9,11.9,13.3,12.8,13.2,11.2,12.1,11.1,13.3,14.1,14.6,13.6,12.3,13.3,15.3,15.9,12.7,10.2,10.2,9.5,7.4,8.9,12.1,11.4,11.9,9.4,8.4,7.4,5.5,5.6,5.2,5.5,5.8,6.2,7.3,8.6,10,8.6,7,7,6.8,6.5,4.2,3.8,3.9,3.4,4,2.7,5.3,5.5,4.6,4.2,5,4.6,10.5,4.1,4.8,7.4,7.2
     Health Consumption Expenditures,,6.6,7.9,9,10.1,8.8,10.6,12.7,13.5,12,13.5,10.9,12.2,11.8,13.7,14.4,15,14.7,12.5,13.5,15.1,16.1,12.6,10.3,10.6,10.2,7.6,8.8,12.1,11.5,12,9.5,8.3,7.4,5.6,5.8,5.4,5.4,5.5,6.2,7.7,8.8,9.8,8.7,7,6.9,6.8,6.3,4,4.4,3.9,3.3,4.1,2.9,5.7,5.7,4.7,4,5,4.7,11,3.9,4.9,7.5,7.4
             Personal Health Care,,6.5,7.7,9.2,9.8,8.2,10.4,13.1,13.1,12.8,13.7,10.2,11.2,11.7,14.6,14.6,14.3,13.3,11.9,13.9,15.9,16,12.4,10.2,9.7,10.3,8.8,9.6,11.4,10.5,11.9,9.9,8.3,6.5,5.4,6,5.6,5.6,5.5,5.9,7.2,8.6,8.7,8.1,7.2,7.1,6.6,6.4,4.5,4.9,3.6,3.4,4.1,2.6,5.2,5.9,4.6,4,4.3,5.4,6.3,6.3,5.1,9.4,8.3
