,0
1960,1.1
1961,1.2
1962,1.3
1963,1.3
1964,1.5
1965,1.8
1966,2.0
1967,2.1
1968,2.6
1969,2.4
1970,2.6
1971,3.2
1972,4.3
1973,4.8
1974,4.5
1975,4.9
1976,6.7
1977,9.3
1978,11.1
1979,11.9
1980,11.9
1981,13.9
1982,16.1
1983,18.3
1984,23.2
1985,24.9
1986,22.2
1987,20.8
1988,26.4
1989,33.7
1990,38.3
1991,39.2
1992,42.5
1993,51.7
1994,55.4
1995,57.1
1996,59.2
1997,60.5
1998,62.9
1999,68.9
2000,80.2
2001,89.5
2002,111.8
2003,131.7
2004,140.3
2005,149.8
2006,164.6
2007,171.7
2008,167.1
2009,165.6
2010,181.1
2011,189.3
2012,196.7
2013,206.7
2014,234.1
2015,245.0
2016,258.4
2017,266.8
2018,302.9
2019,293.0
2020,355.2
2021,323.5
2022,347.6
2023,371.1
2024,372.1
