,0
1960,4.059040590405904
1961,4.123711340206185
1962,4.088050314465408
1963,3.7572254335260116
1964,3.926701570680628
1965,4.326923076923077
1966,4.366812227074236
1967,4.1015625
1968,4.482758620689655
1969,3.669724770642201
1970,3.508771929824562
1971,3.8834951456310676
1972,4.653679653679653
1973,4.673807205452775
1974,3.869303525365434
1975,3.692539562923889
1976,4.407894736842105
1977,5.388180764774045
1978,5.724600309437855
1979,5.416477014110151
1980,4.699842022116904
1981,4.73433242506812
1982,4.865518283469327
1983,5.016447368421053
1984,5.772580243841752
1985,5.660377358490567
1986,4.700402286682193
1987,4.042759961127309
1988,4.577770071094156
1989,5.248403675439963
1990,5.329066369834423
1991,4.9879119480849985
1992,4.987092231870452
1993,5.650890807738551
1994,5.737365368682684
1995,5.598039215686275
1996,5.516727238840743
1997,5.342635111268103
1998,5.251294039071632
1999,5.414538310412574
2000,5.874597128625842
2001,6.0370994940978076
2002,6.856792394970867
2003,7.440677966101694
2004,7.406820821454968
2005,7.392784878843213
2006,7.606987706812089
2007,7.451610103289645
2008,6.959600166597251
2009,6.646598434677904
2010,6.995789392359099
2011,7.072933791660439
2012,7.064612290342276
2013,7.2295477597845474
2014,7.7766335581171315
2015,7.7111922447438
2016,7.773532685538942
2017,7.701633854858265
2018,8.326689941446517
2019,7.7001918477832385
2020,8.4484932093333
2021,7.391075875619732
2022,7.578598526141368
2023,7.534566422349907
2024,7.049217595574585
