,0
1960,542.4
1961,562.2
1962,603.9
1963,637.5
1964,684.5
1965,742.3
1966,813.4
1967,860.0
1968,940.7
1969,1017.6
1970,1073.3
1971,1164.9
1972,1279.1
1973,1425.4
1974,1545.2
1975,1684.9
1976,1873.4
1977,2081.8
1978,2351.6
1979,2627.3
1980,2857.3
1981,3207.0
1982,3343.8
1983,3634.0
1984,4037.6
1985,4339.0
1986,4579.6
1987,4855.2
1988,5236.4
1989,5641.6
1990,5963.1
1991,6158.1
1992,6520.3
1993,6858.6
1994,7287.2
1995,7639.7
1996,8073.1
1997,8577.6
1998,9062.8
1999,9631.2
2000,10251.0
2001,10581.9
2002,10929.1
2003,11456.5
2004,12217.2
2005,13039.2
2006,13815.6
2007,14474.2
2008,14769.9
2009,14478.1
2010,15049.0
2011,15599.7
2012,16254.0
2013,16880.7
2014,17608.1
2015,18295.0
2016,18804.9
2017,19612.1
2018,20656.5
2019,21540.0
2020,21375.3
2021,23725.6
2022,26054.6
2023,27811.5
2024,29298.0
