,0
1960,4.996312684365782
1961,5.176093916755603
1962,5.265772478887233
1963,5.427450980392157
1964,5.580715850986122
1965,5.604203152364274
1966,5.6306860093434965
1967,5.953488372093023
1968,6.165621345806314
1969,6.426886792452831
1970,6.903941116183732
1971,7.073568546656365
1972,7.223829254944884
1973,7.204995089097797
1974,7.526533782034687
1975,7.875838328684194
1976,8.113590263691684
1977,8.290902103948506
1978,8.245449906446675
1979,8.362196932211775
1980,8.861512616806074
1981,9.154973495478641
1982,9.895926789879777
1983,10.03852504127683
1984,9.953933029522489
1985,10.138280709840977
1986,10.313127784085946
1987,10.59688581314879
1988,11.013291574364068
1989,11.381522972206467
1990,12.052455937348023
1991,12.762053230704273
1992,13.06995076913639
1993,13.339457032047356
1994,13.25063124382479
1995,13.351309606398157
1996,13.29229168473077
1997,13.201828017160977
1998,13.216665931058834
1999,13.212268460835617
2000,13.317725099990247
2001,14.009771402111152
2002,14.918886276088609
2003,15.449744686422553
2004,15.504370886946273
2005,15.540063807595555
2006,15.662005269405602
2007,15.919359964626715
2008,16.256034231782206
2009,17.2087497668893
2010,17.201807429065052
2011,17.156740193721674
2012,17.12993724621632
2013,16.937093840895223
2014,17.096109177026484
2015,17.366493577480185
2016,17.676775733984226
2017,17.66358523564534
2018,17.610437392588288
2019,17.665273909006498
2020,19.66896371045085
2021,18.448005529891763
2022,17.60380124814812
2023,17.709580569189004
2024,18.016929483241178
