,0
1960,27.1
1961,29.1
1962,31.8
1963,34.6
1964,38.2
1965,41.6
1966,45.8
1967,51.2
1968,58.0
1969,65.4
1970,74.1
1971,82.4
1972,92.4
1973,102.7
1974,116.3
1975,132.7
1976,152.0
1977,172.6
1978,193.9
1979,219.7
1980,253.2
1981,293.6
1982,330.9
1983,364.8
1984,401.9
1985,439.9
1986,472.3
1987,514.5
1988,576.7
1989,642.1
1990,718.7
1991,785.9
1992,852.2
1993,914.9
1994,965.6
1995,1020.0
1996,1073.1
1997,1132.4
1998,1197.8
1999,1272.5
2000,1365.2
2001,1482.5
2002,1630.5
2003,1770.0
2004,1894.2
2005,2026.3
2006,2163.8
2007,2304.2
2008,2401.0
2009,2491.5
2010,2588.7
2011,2676.4
2012,2784.3
2013,2859.1
2014,3010.3
2015,3177.2
2016,3324.1
2017,3464.2
2018,3637.7
2019,3805.1
2020,4204.3
2021,4376.9
2022,4586.6
2023,4925.3
2024,5278.6
