,0
1960,146.0
1961,154.0
1962,165.0
1963,178.0
1964,194.0
1965,208.0
1966,227.0
1967,251.0
1968,282.0
1969,315.0
1970,353.0
1971,387.0
1972,430.0
1973,474.0
1974,533.0
1975,603.0
1976,685.0
1977,772.0
1978,859.0
1979,963.0
1980,1099.0
1981,1262.0
1982,1408.0
1983,1537.0
1984,1679.0
1985,1822.0
1986,1937.0
1987,2090.0
1988,2321.0
1989,2560.0
1990,2835.0
1991,3065.0
1992,3284.0
1993,3486.0
1994,3641.0
1995,3807.0
1996,3966.0
1997,4141.0
1998,4335.0
1999,4559.0
2000,4842.0
2001,5209.0
2002,5678.0
2003,6112.0
2004,6481.0
2005,6871.0
2006,7266.0
2007,7662.0
2008,7907.0
2009,8132.0
2010,8377.0
2011,8590.0
2012,8860.0
2013,9024.0
2014,9421.0
2015,9860.0
2016,10229.0
2017,10582.0
2018,11042.0
2019,11487.0
2020,12637.0
2021,13137.0
2022,13689.0
2023,14580.0
2024,15474.0
