"Year","Total","Growth"
2003,51942100,NA
2004,52770940,0.0159569982730771
2005,55559694,0.0528463961415127
2006,54375864,-0.0213073527726773
2007,56746576,0.0435986083825721
2008,54698971,-0.0360833224545566
2009,56664442,0.0359325041050589
2010,57698351,0.0182461692643157
2011,57221809,-0.00825919617702766
2012,60310499,0.0539774965870093
2013,60137898,-0.00286187318728701
2014,62143120,0.0333437327656514
2015,65465017,0.0534555876821119
2016,69334772,0.059111800123721
2017,71527566,0.0316261802952204
2018,74149165,0.0366515896822213
2019,77110069,0.0399317241131441
2020,78019700,0.0117965268582499
2021,78447193,0.0054792956138001
2022,79448251,0.0127609154861666
2023,84108956,0.0586634059445815
2024,87865636,0.0446644469109806
